"","NAME","gender","prc_under18E","prc_under18M","prc_over65E","prc_over65M"
"55","Andover","Female",0.428571428571429,0.338558211333853,0.0649350649350649,0.236692815344224
"56","Andover","Male",0.466666666666667,0.509388401134023,0.0666666666666667,0.445864398363892
"57","Andrew","Female",0.206896551724138,0.106779137312331,0.123152709359606,0.0881317605181568
"58","Andrew","Male",0.246153846153846,0.133137491409139,0.102564102564103,0.0968930659198292
"59","Anita","Female",0.195357833655706,0.0857727636433313,0.30174081237911,0.109114732434455
"60","Anita","Male",0.224400871459695,0.115646654406639,0.237472766884532,0.0942443522583015
"61","Ankeny","Female",0.253821887891289,0.0270586179694476,0.124696675564183,0.0156850989815239
"62","Ankeny","Male",0.288213793516688,0.0316344807068974,0.0863742584936185,0.0119162134456359
"63","Anthon","Female",0.155763239875389,0.0753385752074505,0.274143302180685,0.109238408262893
"64","Anthon","Male",0.185454545454545,0.0914919496977965,0.221818181818182,0.0790723071123267
"65","Aplington","Female",0.231651376146789,0.085290732848627,0.23394495412844,0.0755037651279277
"66","Aplington","Male",0.248306997742664,0.101187605472204,0.173814898419865,0.0702429330480721
"67","Arcadia","Female",0.243697478991597,0.134126949949401,0.0700280112044818,0.0427325934937746
"68","Arcadia","Male",0.228813559322034,0.135731689238593,0.0610169491525424,0.0352117029764088
"69","Archer","Female",0.21875,0.30892771745181,0.359375,0.286717257378874
"70","Archer","Male",0.140350877192982,0.233326307433818,0.385964912280702,0.343603361976523
"71","Aredale","Female",0,0.909090909090909,0.545454545454545,0.776727613210685
"72","Aredale","Male",0.0952380952380952,0.858341793074298,0.476190476190476,0.886630014281895
"73","Argo CDP, Iowa","Female",NA,NA,NA,NA
"74","Argo CDP, Iowa","Male",NA,NA,NA,NA
"75","Argyle CDP, Iowa","Female",0,1.11111111111111,0.222222222222222,1.30894766986257
"76","Argyle CDP, Iowa","Male",0,0.740740740740741,0.111111111111111,0.859609612757581
"77","Arion","Female",0.527777777777778,0.573379961904571,0.0555555555555556,0.32149639912716
"78","Arion","Male",0.488888888888889,0.697441314037564,0.177777777777778,0.416083890571714
"79","Arispe","Female",0.25,0.309709765569136,0.291666666666667,0.394200457599436
"80","Arispe","Male",0.135135135135135,0.41013241895193,0.297297297297297,0.531370502515188
"81","Arlington","Female",0.249027237354086,0.165438545881861,0.260700389105058,0.119250939982782
