"","Year","GEOID","NAME","Median Age Estimate","moe"
"137","2009","1950160","Mason City",39.8,1.5
"138","2009","1950205","Masonville",42.5,21.1
"139","2009","1950250","Massena",46,5.2
"140","2009","1950385","Matlock",49,20
"141","2009","1950430","Maurice",45.1,10.5
"142","2009","1950520","Maxwell",41.3,3.9
"143","2009","1950610","Maynard",44.9,11.1
"144","2009","1950655","Maysville",49.8,21.7
"145","2009","1931800","Graettinger",33.8,3.6
"146","2009","1931845","Graf",31.6,7.2
"147","2009","1931890","Grafton",42.2,15
"148","2009","1931980","Grand Junction",40.6,3.5
"149","2009","1932025","Grand Mound",41.3,7.5
"150","2009","1932070","Grand River",30.6,14.7
"151","2009","1932115","Grandview",31.4,4.7
"152","2009","1932160","Granger",34.5,1.9
"153","2009","1932295","Grant",54.5,17.7
"154","2009","1932475","Granville",35.9,14.7
"155","2009","1932520","Gravity",42,8.1
"156","2009","1932565","Gray",43.3,7
"157","2009","1932610","Greeley",40.1,8
"158","2009","1932745","Greene",44.8,6.1
"159","2009","1932790","Greenfield",42.4,4.6
"160","2009","1932970","Greenville",28.4,19.1
"161","2009","1933060","Grimes",32.7,2.9
"162","2009","1933105","Grinnell",37.4,4.9
"163","2009","1933150","Griswold",51.2,9.2
"164","2009","1933195","Grundy Center",40.6,3.5
"165","2009","1933240","Gruver",28.3,35.7
"166","2009","1933285","Guernsey",62.5,20.3
"167","2009","1933420","Guthrie Center",35.3,3.7
"168","2009","1933465","Guttenberg",51.8,4.4
"169","2009","1933645","Halbur",44.6,4.1
"170","2009","1933780","Hamburg",40.3,4.4
"171","2009","1933870","Hamilton",30.6,10.8
"172","2009","1933960","Hampton",42.6,5.8
"173","2009","1934005","Hancock",50.7,17.7
"174","2009","1934185","Hanlontown",33.7,5.9
"175","2009","1934365","Hansell",54.1,8.9
"176","2009","1934410","Harcourt",40.3,8.6
"177","2009","1934455","Hardy",39.1,27.7
"178","2009","1934500","Harlan",45.3,2.8
"179","2009","1934545","Harper",28.9,5.7
"180","2009","1934590","Harpers Ferry",58.5,8.3
"181","2009","1934635","Harris",51.1,4.9
"182","2009","1934680","Hartford",42.8,4.9
"183","2009","1934725","Hartley",40.6,4
"184","2009","1934770","Hartwick",32.5,12.9
"185","2009","1934860","Harvey",37,10.5
"186","2009","1934995","Hastings",28.8,16.7
"187","2009","1935130","Havelock",39.2,27.6
"188","2009","1935220","Haverhill",33.1,4
"189","2009","1935265","Hawarden",44.6,5.3
"190","2009","1935310","Hawkeye",39.2,4.7
"191","2009","1935445","Hayesville",51.2,16.5
"192","2009","1935580","Hazleton",41.9,4.9
"193","2009","1935670","Hedrick",36.1,7.8
"194","2009","1935715","Henderson",52.1,18.5
"195","2009","1935760","Hepburn",29.2,32.6
"196","2009","1935940","Hiawatha",37.8,3.8
"197","2009","1936345","Hills",39.6,15
"198","2009","1936390","Hillsboro",23.6,9.1
"199","2009","1936480","Hinton",39.7,4.4
"200","2009","1936705","Holland",40.3,11.2
"201","2009","1936840","Holstein",45.6,6.9
"202","2009","1936885","Holy Cross",38.1,10.7
"203","2009","1937155","Hopkinton",43.3,9.7
"204","2009","1937200","Hornick",34.6,13.6
"205","2009","1937290","Hospers",31.2,10.3
"206","2009","1937335","Houghton",39.5,8.1
"207","2009","1937425","Hubbard",43.7,14
"208","2009","1937470","Hudson",40.7,2.6
"209","2009","1937515","Hull",33.8,5.1
"210","2009","1937560","Humboldt",45,1.9
"211","2009","1937605","Humeston",59.5,4.3
"212","2009","1937920","Huxley",25,2.9
"213","2009","1938010","Ida Grove",42.7,3.6
"214","2009","1938055","Imogene",52.5,11.7
"215","2009","1938100","Independence",40.5,1.7
"216","2009","1938280","Indianola",34,1.6
"217","2009","1938415","Inwood",35.8,7.3
"218","2009","1938460","Ionia",22.8,6.6
"219","2009","1938595","Iowa City",23.9,0.2
"220","2009","1938640","Iowa Falls",36.5,4
"221","2009","1938820","Ireton",40.9,11
"222","2009","1939000","Irwin",45.4,6.7
"223","2009","1939135","Jackson Junction",37.2,8.8
"224","2009","1939225","Jamaica",37.6,10.8
"225","2009","1939405","Janesville",37.7,6.2
"226","2009","1939450","Jefferson",46.3,2.2
"227","2009","1939585","Jesup",36.1,1.7
"228","2009","1939675","Jewell Junction",39.4,3.1
"229","2009","1939765","Johnston",34.7,1.3
"230","2009","1939855","Joice",34.1,8.5
"231","2009","1939900","Jolley",44.4,19.6
"232","2009","1940170","Kalona",44,3.7
"233","2009","1940215","Kamrar",47.1,3
"234","2009","1940260","Kanawha",45.7,3.7
"235","2009","1940350","Kellerton",40.2,12.3
"236","2009","1940395","Kelley",41.7,3.8
"237","2009","1940440","Kellogg",45.1,7.2
"238","2009","1940665","Kensett",52.1,2.8
"239","2009","1940845","Keokuk",38,4.5
"240","2009","1940890","Keomah Village",37.7,23.9
"241","2009","1940935","Keosauqua",48.4,9.1
"242","2009","1940980","Keota",32.6,8.4
"243","2009","1941070","Keswick",46.2,12.4
"244","2009","1941115","Keystone",38.5,5.2
"245","2009","1941295","Kimballton",44.3,15.2
"246","2009","1941385","Kingsley",39.3,5.2
"247","2009","1941475","Kinross",43.8,8.8
"248","2009","1941520","Kirkman",54.5,3.6
"249","2009","1941565","Kirkville",56.5,10.1
"250","2009","1941610","Kiron",47.5,11
"251","2009","1941655","Klemme",32.5,5.5
"252","2009","1941790","Knierim",38.2,6.8
"253","2009","1942015","Knoxville",40.5,2.7
"254","2009","1942285","Lacona",38.5,9.1
"255","2009","1942330","Ladora",40.7,3.6
"256","2009","1942465","Lake City",45.2,5.4
"257","2009","1942555","Lake Mills",45.5,4.3
"258","2009","1942600","Lake Park",45.9,7.8
"259","2009","1942645","Lakeside",36.3,6.5
"260","2009","1942690","Lake View",53.2,5.7
"261","2009","1942825","Lakota",41.5,13
"262","2009","1942870","Lambs Grove",47.8,12.5
"263","2009","1942960","Lamoni",24.4,3.1
"264","2009","1943005","Lamont",35.6,7.3
"265","2009","1943050","La Motte",48.2,4.9
"266","2009","1943140","Lanesboro",33.8,15.1
"267","2009","1943275","Lansing",48.8,11.8
"268","2009","1943365","La Porte City",36.7,2.6
"269","2009","1943410","Larchwood",37.9,5.7
"270","2009","1943500","Larrabee",49.1,11.3
"271","2009","1943590","Latimer",31,6.2
"272","2009","1943680","Laurel",45.4,6.2
"273","2009","1943725","Laurens",44,9.4
"274","2009","1943815","Lawler",50.4,6.4
"275","2009","1943905","Lawton",33.4,4.1
"276","2009","1943950","Leando CDP",51.8,5.8
"277","2009","1944085","Le Claire",37.4,5.2
